TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;20,16;;-73,85;2,06;0,94;31,73;5,79;-2,87;36,58;47,01;10,43;0,59;2,12;-30,06;-1,15;0,85;-2,79;-1,27;2,70;0,46;0,53;0,44;3,62;;9.224.659,83;9,80;-0,27;1,45;2.384.783.170,56
ABCB4;16,10;6,31;5,84;0,76;0,08;37,27;26,57;19,79;4,35;4,35;;;1,16;-2,27;-0,08;0,18;12,94;1,40;;0,11;0,89;0,07;7,15;9,74;12.860.142,45;21,31;2,76;0,08;3.640.050.899,80
ABEV3;13,68;4,41;16,01;2,73;1,69;50,27;22,97;18,03;12,57;11,91;-0,66;-0,14;2,89;165,66;-2,32;1,04;17,05;10,56;20,02;0,62;0,37;0,59;9,82;1,41;287.897.163,52;5,01;0,85;3,79;215.462.966.521,68
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;3,18;0,65;51,41;2,45;0,78;11,08;8,41;2,02;12,35;16,06;3,71;0,73;1,04;1,98;-2,16;2,65;4,76;1,53;7,66;0,32;0,68;0,76;;;8.628.812,45;1,30;0,06;-0,85;2.436.558.790,08
AESB3;10,55;0,57;10,75;1,59;0,41;22,78;14,53;25,41;18,81;34,15;15,34;1,30;2,73;2,78;-0,53;2,91;14,79;3,81;-2,70;0,26;0,64;0,15;;;14.900.373,34;6,63;0,98;;5.191.723.522,25
AFLT3;9,09;4,69;5,60;2,24;2,05;87,03;84,24;81,52;5,42;5,23;-0,19;-0,08;4,56;9,77;-2,66;10,78;39,98;36,56;39,43;0,91;0,09;0,45;30,86;48,28;3.746,18;4,06;1,62;0,01;573.439.923,00
AGRO3;29,35;15,80;3,73;1,22;0,86;39,85;35,81;58,48;6,08;6,22;0,14;0,03;2,18;2,11;-1,76;4,91;32,67;23,09;14,65;0,71;0,29;0,39;55,29;151,67;21.907.075,66;24,12;7,88;0,01;3.004.765.184,80
AGXY3;9,18;1,83;17,69;1,12;0,17;11,21;3,14;1,04;5,86;9,70;3,84;0,73;0,18;4,34;-1,00;1,05;6,32;0,99;7,19;0,16;0,84;0,95;;;607.453,38;8,20;0,52;;1.568.173.399,02
AHEB3;27,50;;-6,89;-3,99;0,78;39,70;-3,15;-17,13;-37,41;-35,38;2,32;;1,18;26,04;-1,09;1,12;-57,95;-11,38;10,67;-0,20;1,20;0,66;-1,24;;4.125,00;-6,89;-3,99;0,25;236.820.517,90
AHEB5;22,00;;-5,51;-3,19;0,63;39,70;-3,15;-17,13;-29,93;-35,38;2,32;;0,94;20,83;-0,87;1,12;-57,95;-11,38;10,67;-0,20;1,20;0,66;-1,24;;2.348,50;-6,89;-3,99;0,20;236.820.517,90
AHEB6;41,20;;-10,32;-5,98;1,17;39,70;-3,15;-17,13;-56,04;-35,38;2,32;;1,77;39,02;-1,64;1,12;-57,95;-11,38;10,67;-0,20;1,20;0,66;-1,24;;4.120,00;-6,89;-3,99;0,38;236.820.517,90
