acao,cnpj,setor,subsetor,segmento
aalr3,42.771.949/0001-35,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
abcb4,28.195.667/0001-06,Financeiro e Outros,Intermediários Financeiros,Bancos
abev3,07.526.557/0001-00,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes
adhm3,10.345.009/0001-98,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
aeri3,12.528.708/0001-07,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
aesb3,37.663.076/0001-07,Utilidade Pública,Energia Elétrica,Energia Elétrica
aflt3,10.338.320/0001-00,Utilidade Pública,Energia Elétrica,Energia Elétrica
agro3,07.628.528/0001-59,Consumo não Cíclico,Agropecuária,Agricultura
agxy3,21.240.146/0001-84,Consumo não Cíclico,Agropecuária,Agricultura
aheb3,62.002.886/0001-60,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
aheb5,62.002.886/0001-60,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
aheb6,62.002.886/0001-60,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
alld3,20.247.322/0001-47,Consumo Cíclico,Comércio,Eletrodomésticos
alpa3,61.079.117/0001-05,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados
alpa4,61.079.117/0001-05,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados
alpk3,60.537.263/0001-66,Bens Industriais,Serviços,Serviços Diversos
also3,05.878.397/0001-32,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis
alup11,08.364.948/0001-38,Utilidade Pública,Energia Elétrica,Energia Elétrica
alup3,08.364.948/0001-38,Utilidade Pública,Energia Elétrica,Energia Elétrica
alup4,08.364.948/0001-38,Utilidade Pública,Energia Elétrica,Energia Elétrica
amar3,61.189.288/0001-89,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
ambp3,12.648.266/0001-24,Utilidade Pública,Água e Saneamento,Água e Saneamento
amer3,00.776.574/0001-56,Consumo Cíclico,Comércio,Produtos Diversos
anim3,09.288.252/0001-32,Consumo Cíclico,Diversos,Serviços Educacionais
aper3,11.721.921/0001-60,Financeiro e Outros,Previdência e Seguros,Corretoras de Seguros
apti3,61.156.931/0001-78,Consumo não Cíclico,Agropecuária,Agricultura
apti4,61.156.931/0001-78,Consumo não Cíclico,Agropecuária,Agricultura
arml3,00.242.184/0001-04,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
arzz3,16.590.234/0001-76,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
asai3,06.057.223/0001-71,Consumo não Cíclico,Comércio e Distribuição,Alimentos
atmp3,04.032.433/0001-80,Bens Industriais,Serviços,Serviços Diversos
atom3,00.359.742/0001-08,Financeiro e Outros,Outros,Outros
aura33,07.857.093/0001-14,Materiais Básicos,Mineração,Minerais Metálicos
aure3,28.594.234/0001-23,Utilidade Pública,Energia Elétrica,Energia Elétrica
avll3,16.811.931/0001-00,Consumo Cíclico,Construção Civil,Incorporações
azev3,61.351.532/0001-68,Bens Industriais,Construção e Engenharia,Construção Pesada
azev4,61.351.532/0001-68,Bens Industriais,Construção e Engenharia,Construção Pesada
azul4,09.305.994/0001-29,Bens Industriais,Transporte,Transporte Aéreo
b3sa3,09.346.601/0001-25,Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos
bahi3,45.987.245/0001-92,Consumo Cíclico,Diversos,Serviços Educacionais
balm3,61.374.161/0001-30,Saúde,Equipamentos,Equipamentos
balm4,61.374.161/0001-30,Saúde,Equipamentos,Equipamentos
bauh4,95.426.862/0001-97,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
baza3,04.902.979/0001-44,Financeiro e Outros,Intermediários Financeiros,Bancos
bbas3,00.000.000/0001-91,Financeiro e Outros,Intermediários Financeiros,Bancos
bbdc3,60.746.948/0001-12,Financeiro e Outros,Intermediários Financeiros,Bancos
bbdc4,60.746.948/0001-12,Financeiro e Outros,Intermediários Financeiros,Bancos
bbml3,01.107.327/0001-20,Bens Industriais,Serviços,Serviços Diversos
bbse3,17.344.597/0001-94,Financeiro e Outros,Previdência e Seguros,Seguradoras
bdll3,60.851.615/0001-53,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
bdll4,60.851.615/0001-53,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
beef3,67.620.377/0001-14,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
bees3,28.127.603/0001-78,Financeiro e Outros,Intermediários Financeiros,Bancos
bees4,28.127.603/0001-78,Financeiro e Outros,Intermediários Financeiros,Bancos
bfre11,02.762.113/0001-50,Financeiro e Outros,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
bfre12,02.762.113/0001-50,Financeiro e Outros,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
bgip3,13.009.717/0001-46,Financeiro e Outros,Intermediários Financeiros,Bancos
