acao,cnpj,setor,subsetor,segmento,codigo,indice
aalr3,42.771.949/0001-35,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,aalr,3
abcb4,28.195.667/0001-06,Financeiro e Outros,Intermediários Financeiros,Bancos,abcb,4
abev3,07.526.557/0001-00,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,abev,3
adhm3,10.345.009/0001-98,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,adhm,3
aeri3,12.528.708/0001-07,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,aeri,3
aesb3,37.663.076/0001-07,Utilidade Pública,Energia Elétrica,Energia Elétrica,aesb,3
aflt3,10.338.320/0001-00,Utilidade Pública,Energia Elétrica,Energia Elétrica,aflt,3
agro3,07.628.528/0001-59,Consumo não Cíclico,Agropecuária,Agricultura,agro,3
agxy3,21.240.146/0001-84,Consumo não Cíclico,Agropecuária,Agricultura,agxy,3
aheb3,62.002.886/0001-60,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,aheb,3
alld3,20.247.322/0001-47,Consumo Cíclico,Comércio,Eletrodomésticos,alld,3
alpa4,61.079.117/0001-05,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,alpa,4
alpk3,60.537.263/0001-66,Bens Industriais,Serviços,Serviços Diversos,alpk,3
also3,05.878.397/0001-32,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,also,3
alup11,08.364.948/0001-38,Utilidade Pública,Energia Elétrica,Energia Elétrica,alup,11
amar3,61.189.288/0001-89,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,amar,3
ambp3,12.648.266/0001-24,Utilidade Pública,Água e Saneamento,Água e Saneamento,ambp,3
amer3,00.776.574/0001-56,Consumo Cíclico,Comércio,Produtos Diversos,amer,3
anim3,09.288.252/0001-32,Consumo Cíclico,Diversos,Serviços Educacionais,anim,3
aper3,11.721.921/0001-60,Financeiro e Outros,Previdência e Seguros,Corretoras de Seguros,aper,3
apti4,61.156.931/0001-78,Consumo não Cíclico,Agropecuária,Agricultura,apti,4
arml3,00.242.184/0001-04,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,arml,3
arzz3,16.590.234/0001-76,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,arzz,3
asai3,06.057.223/0001-71,Consumo não Cíclico,Comércio e Distribuição,Alimentos,asai,3
atmp3,04.032.433/0001-80,Bens Industriais,Serviços,Serviços Diversos,atmp,3
atom3,00.359.742/0001-08,Financeiro e Outros,Outros,Outros,atom,3
aure3,28.594.234/0001-23,Utilidade Pública,Energia Elétrica,Energia Elétrica,aure,3
avll3,16.811.931/0001-00,Consumo Cíclico,Construção Civil,Incorporações,avll,3
azev4,61.351.532/0001-68,Bens Industriais,Construção e Engenharia,Construção Pesada,azev,4
azul4,09.305.994/0001-29,Bens Industriais,Transporte,Transporte Aéreo,azul,4
bahi3,45.987.245/0001-92,Consumo Cíclico,Diversos,Serviços Educacionais,bahi,3
balm4,61.374.161/0001-30,Saúde,Equipamentos,Equipamentos,balm,4
bauh4,95.426.862/0001-97,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,bauh,4
baza3,04.902.979/0001-44,Financeiro e Outros,Intermediários Financeiros,Bancos,baza,3
bbas3,00.000.000/0001-91,Financeiro e Outros,Intermediários Financeiros,Bancos,bbas,3
bbdc4,60.746.948/0001-12,Financeiro e Outros,Intermediários Financeiros,Bancos,bbdc,4
bbml3,01.107.327/0001-20,Bens Industriais,Serviços,Serviços Diversos,bbml,3
bbse3,17.344.597/0001-94,Financeiro e Outros,Previdência e Seguros,Seguradoras,bbse,3
bdll4,60.851.615/0001-53,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,bdll,4
beef3,67.620.377/0001-14,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,beef,3
bees4,28.127.603/0001-78,Financeiro e Outros,Intermediários Financeiros,Bancos,bees,4
bfre11,02.762.113/0001-50,Financeiro e Outros,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,bfre,11
bgip4,13.009.717/0001-46,Financeiro e Outros,Intermediários Financeiros,Bancos,bgip,4
bidi11,00.416.968/0001-01,Financeiro e Outros,Intermediários Financeiros,Bancos,bidi,11
biom3,04.752.991/0001-10,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,biom,3
bkbr3,13.574.594/0001-96,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares,bkbr,3
blau3,58.430.828/0001-60,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,blau,3
blut4,60.637.238/0001-54,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas,blut,4
bmeb4,17.184.037/0001-10,Financeiro e Outros,Intermediários Financeiros,Bancos,bmeb,4
bmgb4,61.186.680/0001-74,Financeiro e Outros,Intermediários Financeiros,Bancos,bmgb,4
bmin4,34.169.557/0001-72,Financeiro e Outros,Intermediários Financeiros,Bancos,bmin,4
bmks3,56.992.423/0001-90,Consumo Cíclico,Viagens e Lazer,Bicicletas,bmks,3
bmob3,09.042.817/0001-05,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,bmob,3
bnbr3,07.237.373/0001-20,Financeiro e Outros,Intermediários Financeiros,Bancos,bnbr,3
boas3,11.725.176/0001-27,Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos,boas,3
bobr4,50.564.053/0001-03,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza,bobr,4
bpac11,30.306.294/0001-45,Financeiro e Outros,Intermediários Financeiros,Bancos,bpac,11
bpan4,59.285.411/0001-13,Financeiro e Outros,Intermediários Financeiros,Bancos,bpan,4
bpar3,04.913.711/0001-08,Financeiro e Outros,Intermediários Financeiros,Bancos,bpar,3
bpha3,11.395.624/0001-71,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,bpha,3
brap4,03.847.461/0001-92,Materiais Básicos,Mineração,Minerais Metálicos,brap,4
brbi11,10.739.356/0001-03,Financeiro e Outros,Intermediários Financeiros,Bancos,brbi,11
brfs3,01.838.723/0001-27,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,brfs,3
brge11,17.193.806/0001-46,Financeiro e Outros,Previdência e Seguros,Seguradoras,brge,11
brit3,19.796.586/0001-70,Comunicações,Telecomunicações,Telecomunicações,brit,3
briv4,60.770.336/0001-65,Financeiro e Outros,Intermediários Financeiros,Bancos,briv,4
brkm3,42.150.391/0001-70,Materiais Básicos,Químicos,Petroquímicos,brkm,3
brml3,06.977.745/0001-91,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,brml,3
brpr3,06.977.751/0001-49,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,brpr,3
brqb3,36.542.025/0001-64,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,brqb,3
brsr3,92.702.067/0001-96,Financeiro e Outros,Intermediários Financeiros,Bancos,brsr,3
bsev3,15.527.906/0001-36,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,bsev,3
bsli4,00.000.208/0001-00,Financeiro e Outros,Intermediários Financeiros,Bancos,bsli,4
bttl4,42.331.462/0001-31,Financeiro e Outros,Holdings Diversificadas,Holdings Diversificadas,bttl,4
cali4,61.022.042/0001-18,Consumo Cíclico,Construção Civil,Incorporações,cali,4
camb4,61.088.894/0001-08,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,camb,4
caml3,64.904.295/0001-03,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,caml,3
cash3,14.110.585/0001-07,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,cash,3
casn4,82.508.433/0001-17,Utilidade Pública,Água e Saneamento,Água e Saneamento,casn,4
cata4,19.526.748/0001-50,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,cata,4
cbav3,61.409.892/0001-73,Materiais Básicos,Mineração,Minerais Metálicos,cbav,3
cbee3,33.050.071/0001-58,Utilidade Pública,Energia Elétrica,Energia Elétrica,cbee,3
ccro3,02.846.056/0001-97,Bens Industriais,Transporte,Exploração de Rodovias,ccro,3
ccxc3,07.950.674/0001-04,Financeiro e Outros,Outros,Outros,ccxc,3
ceab3,45.242.914/0001-05,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,ceab,3
cebr3,00.070.698/0001-11,Utilidade Pública,Energia Elétrica,Energia Elétrica,cebr,3
cedo4,17.245.234/0001-00,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,cedo,4
ceeb3,15.139.629/0001-94,Utilidade Pública,Energia Elétrica,Energia Elétrica,ceeb,3
ceed4,08.467.115/0001-00,Utilidade Pública,Energia Elétrica,Energia Elétrica,ceed,4
cegr3,33.938.119/0001-69,Utilidade Pública,Gás,Gás,cegr,3
cepe3,10.835.932/0001-08,Utilidade Pública,Energia Elétrica,Energia Elétrica,cepe,3
cesp3,60.933.603/0001-78,Utilidade Pública,Energia Elétrica,Energia Elétrica,cesp,3
cgas3,61.856.571/0001-17,Utilidade Pública,Gás,Gás,cgas,3
cgra4,92.012.467/0001-70,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,cgra,4
ciel3,01.027.058/0001-91,Financeiro e Outros,Serviços Financeiros Diversos,Serviços Financeiros Diversos,ciel,3
clsa3,03.802.115/0001-98,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,clsa,3
clsc4,83.878.892/0001-55,Utilidade Pública,Energia Elétrica,Energia Elétrica,clsc,4
cmig4,17.155.730/0001-64,Utilidade Pública,Energia Elétrica,Energia Elétrica,cmig,4
cmin3,08.902.291/0001-15,Materiais Básicos,Mineração,Minerais Metálicos,cmin,3
cmsa4,00.272.185/0001-93,Financeiro e Outros,Outros,Outros,cmsa,4
cnsy3,07.437.016/0001-05,Consumo Cíclico,Mídia,Produção e Difusão de Filmes e Programas,cnsy,3
coce3,07.047.251/0001-70,Utilidade Pública,Energia Elétrica,Energia Elétrica,coce,3
cogn3,02.800.026/0001-40,Consumo Cíclico,Diversos,Serviços Educacionais,cogn,3
corr4,15.101.405/0001-93,Financeiro e Outros,Exploração de Imóveis,Exploração de Imóveis,corr,4
cpfe3,02.429.144/0001-93,Utilidade Pública,Energia Elétrica,Energia Elétrica,cpfe,3
cple11,76.483.817/0001-20,Utilidade Pública,Energia Elétrica,Energia Elétrica,cple,11
cpre3,08.439.659/0001-50,Utilidade Pública,Energia Elétrica,Energia Elétrica,cpre,3
crde3,07.820.907/0001-46,Consumo Cíclico,Construção Civil,Incorporações,crde,3
crem3,82.641.325/0001-18,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos,crem,3
crfb3,75.315.333/0001-09,Consumo não Cíclico,Comércio e Distribuição,Alimentos,crfb,3
criv4,17.167.412/0001-13,Financeiro e Outros,Intermediários Financeiros,Soc. Crédito e Financiamento,criv,4
crpg3,15.115.504/0001-24,Materiais Básicos,Químicos,Químicos Diversos,crpg,3
csab4,15.144.017/0001-90,Financeiro e Outros,Previdência e Seguros,Seguradoras,csab,4
csan3,50.746.577/0001-15,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,csan,3
csed3,62.984.091/0001-02,Consumo Cíclico,Diversos,Serviços Educacionais,csed,3
csmg3,17.281.106/0001-03,Utilidade Pública,Água e Saneamento,Água e Saneamento,csmg,3
csna3,33.042.730/0001-04,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,csna,3
csrn3,08.324.196/0001-81,Utilidade Pública,Energia Elétrica,Energia Elétrica,csrn,3
csud3,01.896.779/0001-38,Bens Industriais,Serviços,Serviços Diversos,csud,3
ctca3,06.981.381/0001-13,Consumo não Cíclico,Agropecuária,Agricultura,ctca,3
ctka4,82.640.558/0001-04,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,ctka,4
