CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.01;Receitas da Intermediação Financeira;1977997.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.01;Receitas da Intermediação Financeira;723645.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.01.01;Receitas de Juros;1435428.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.01.01;Receitas de Juros;517426.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.01.02;Receitas de Serviços e Comissões;542569.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.01.02;Receitas de Serviços e Comissões;206219.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02;Despesas da Intermediação Financeira;-643539.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.02;Despesas da Intermediação Financeira;-361553.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02.01;Despesas de Juros;-543242.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.02.01;Despesas de Juros;-333037.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.02.02;Despesas de Serviços e Comissões;-100297.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.02.02;Despesas de Serviços e Comissões;-28516.0000000000;N
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.03;Resultado Bruto Intermediação Financeira;1334458.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.03;Resultado Bruto Intermediação Financeira;362092.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04;Outras Despesas/Receitas Operacionais;-1550257.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2022-01-01;2022-03-31;3.04;Outras Despesas/Receitas Operacionais;-460468.0000000000;S
00.416.968/0001-01;2022-03-31;1;BANCO INTER S.A.;024406;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2021-01-01;2021-12-31;3.04.01;Receitas de Prestação de Serviços;0.0000000000;S
